index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
21,ABEYEM,Cc1cc(C)c(c(C)c1)N12[Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li]2N(=C(C)c2ccccc12)C1CCCCC1)c1c(C)cc(C)cc1C,"(61, 1)",A23B29CD2_oP880_61_46c_58c_2c_4c:C-H-Li-N,A23B29CD2_oP880_61_46c_58c_2c_4c:C-H-Li-N
22,ABEYOY,CC1(C)OC(=O)C=CC2(C)OC3(CC12)CC1=C2C(=O)OC(C4=COC=C4)C2(C)CCC1O3,"(19, 1)",A25B28C7_oP240_19_25a_28a_7a:C-H-O,A25B28C7_oP240_19_25a_28a_7a:C-H-O
23,ABEYOY01,CC1(C)OC(=O)C=CC2(C)OC3(CC12)CC1=C2C(=O)OC(C4=COC=C4)C2(C)CCC1O3,"(4, 1)",A25B28C7_mP120_4_25a_28a_7a:C-H-O,A25B28C7_mP120_4_25a_28a_7a:C-H-O
24,ABEZEP,COc1cc(O)c2C(OCc2c1)c1c(O)cc(C)cc1O,"(14, 1)",A16B16C5_mP148_14_16e_16e_5e:C-H-O,A16B16C5_mP148_14_16e_16e_5e:C-H-O
25,ABEZOA,FC(F)(F)C(F)(F)[Si](O[Si](C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)[Si](O[Si](C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"(2, 1)",A12B30CD2_aP180_2_24i_60i_2i_4i:C-F-O-Si,A12B30CD2_aP180_2_24i_60i_2i_4i:C-F-O-Si
26,ABEZUE,CC1CCC(C(C)C)C(C1)OP(=O)(c1ccccc1)c1ccc(C)cc1,"(4, 1)",A23B31C2D_mP114_4_23a_31a_2a_a:C-H-O-P,A23B31C2D_mP114_4_23a_31a_2a_a:C-H-O-P
27,ABGPON,CC(=O)OCC1OC(OC2=C(NC(=O)c3ccccc3)C(=O)N(C2)C(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,"(4, 1)",A27B2C13_mP84_4_27a_2a_13a:C-N-O,A27B2C13_mP84_4_27a_2a_13a:C-H-N-O
28,ABHPHY10,CC1C(=O)OC2CC1(C)C1C(=O)C3(O)OC41C2(C)OC(=O)C4(O)CCC1C3C(O)C(Br)C2(CCCC(=O)C12C)OC(C)=O.CO.CO,"(4, 1)",AB32C14_mP94_4_a_32a_14a:Br-C-O,AB32C14_mP94_4_a_32a_14a:Br-C-H-O
29,ABHPTB,CC1(C)OC2C3COC4=C(Br)c5c(N)ncnc5N4C(O3)C2O1.CC1(C)OC2C3COC4=C(Br)c5c(N)ncnc5N4C(O3)C2O1,"(19, 1)",AB14C4D4_oP184_19_2a_28a_8a_8a:Br-C-N-O,AB14C4D4_oP184_19_2a_28a_8a_8a:Br-C-H-N-O
30,ABHYTZ,NN1C(=S)NN=C1NNC(=O)c1ccccc1,"(15, 1)",A9B10C6DE_mC216_15_9f_10f_6f_f_f:C-H-N-O-S,A9B10C6DE_mC216_15_9f_10f_6f_f_f:C-H-N-O-S
31,ABIBAO,C[Si]1(C)c2ccc3ccccc3c2c2c3ccccc3ccc2[Si]1(C)C,"(43, 1)",A12B12C_oF400_43_12b_12b_b:C-H-Si,A12B12C_oF400_43_12b_12b_b:C-H-Si
32,ABIBAQ,CCOC(=O)C12CC(C(C1=C)c1ccccc1)C(=CC2=O)OCC,"(14, 1)",A10B11C2_mP184_14_20e_22e_4e:C-H-O,A10B11C2_mP184_14_20e_22e_4e:C-H-O
33,ABIBES,C[Si]1(C)c2ccc3ccccc3c2c2c3ccccc3ccc2[Si]1(c1ccccc1)c1ccccc1,"(14, 1)",A17B14C_mP256_14_34e_28e_2e:C-H-Si,A17B14C_mP256_14_34e_28e_2e:C-H-Si
34,ABIBEU,CC(C)(C)NC(=O)NC1CCCCC1NC(=O)C1CCCN1C(=O)NC1CCCCC1,"(4, 1)",A23B41C5D3_mP144_4_23a_41a_5a_3a:C-H-N-O,A23B41C5D3_mP144_4_23a_41a_5a_3a:C-H-N-O
35,ABIBEW,CC(C)[Si](Oc1cc(O[Si](C(C)C)(C(C)C)C(C)C)c2ccc3c4ccc5c(O[Si](C(C)C)(C(C)C)C(C)C)cc(O[Si](C(C)C)(C(C)C)C(C)C)c6ccc(c7ccc1c2c37)c4c56)(C(C)C)C(C)C,"(14, 1)",A31B47C2D2_mP656_14_62e_94e_4e_4e:C-H-O-Si,A31B47C2D2_mP656_14_62e_94e_4e_4e:C-H-O-Si
36,ABIBIA,FC(F)(F)S(=O)(=O)Oc1cc(OS(=O)(=O)C(F)(F)F)c2ccc3c4ccc5c(OS(=O)(=O)C(F)(F)F)cc(OS(=O)(=O)C(F)(F)F)c6ccc(c7ccc1c2c37)c4c56,"(2, 1)",A15B6C5D6E2_aP68_2_15i_6i_5i_6i_2i:C-F-H-O-S,A15B6C5D6E2_aP68_2_15i_6i_5i_6i_2i:C-F-H-O-S
37,ABIBIY,CN(C)c1ccc2C(=O)N(Cc3ccccc3)C(c3ccccc3)c2c1,"(19, 1)",A23B22C2D_oP192_19_23a_22a_2a_a:C-H-N-O,A23B22C2D_oP192_19_23a_22a_2a_a:C-H-N-O
38,ABIBUK,ClCCl.CCOC(=O)N1CCCC2=CC(=O)C(OC(=O)c3ccc(cc3)N(=O)=O)C2c2cc3OCOc3cc2CC1.CCOC(=O)N1CCCC2=CC(=O)C(OC(=O)c3ccc(cc3)N(=O)=O)C2c2cc3OCOc3cc2CC1,"(2, 1)",A55B2C54D4E18_aP266_2_55i_2i_54i_4i_18i:C-Cl-H-N-O,A55B2C54D4E18_aP266_2_55i_2i_54i_4i_18i:C-Cl-H-N-O
39,ABICEV,ClC(Cl)(Cl)COC(=O)N1CCCC(=Cc2cc3OCOc3cc2CC1)C=O,"(14, 1)",A18B3C18DE5_mP180_14_18e_3e_18e_e_5e:C-Cl-H-N-O,A18B3C18DE5_mP180_14_18e_3e_18e_e_5e:C-Cl-H-N-O
40,ABICEX,CC(C)(C)c1ccc(cc1)c1cc(c2ccc(cc2)C(C)(C)C)c2ccc3c4ccc5c(cc(c6ccc(cc6)C(C)(C)C)c6ccc(c7ccc1c2c37)c4c56)c1ccc(cc1)C(C)(C)C,"(2, 1)",A33B31_aP128_2_33i_31i:C-H,A33B31_aP128_2_33i_31i:C-H
41,ABICIB,F[B-]1(F)N2C(=CC=C2c2ccc3ccccc3[n+]12)Cl,"(14, 1)",AB13CD2E8F2_mP108_14_e_13e_e_2e_8e_2e:B-C-Cl-F-H-N,AB13CD2E8F2_mP108_14_e_13e_e_2e_8e_2e:B-C-Cl-F-H-N
42,ABICIZ,O=CC1CCCN2CCc3cc4OCOc4cc3C12,"(2, 1)",A15B17CD3_aP72_2_15i_17i_i_3i:C-H-N-O,A15B17CD3_aP72_2_15i_17i_i_3i:C-H-N-O
43,ABICOH,F[B-]1(F)N2C(=CC=C2c2ccc3ccccc3[n+]12)Br,"(14, 1)",ABC13D2E8F2_mP108_14_e_e_13e_2e_8e_2e:B-Br-C-F-H-N,ABC13D2E8F2_mP108_14_e_e_13e_2e_8e_2e:B-Br-C-F-H-N
44,ABICUJ,CC1C(CCc2ccccc2)OC(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,"(2, 1)",A28B24C4D13_aP138_2_28i_24i_4i_13i:C-H-N-O,A28B24C4D13_aP138_2_28i_24i_4i_13i:C-H-N-O
45,ABICUN,F[B-]1(F)N2C(=CC=C2c2ccc3ccccc3[n+]12)I.F[B-]1(F)N2C(=CC=C2c2ccc3ccccc3[n+]12)I,"(9, 1)",AB13C2D8EF2_mC216_9_2a_26a_4a_16a_2a_4a:B-C-F-H-I-N,AB13C2D8EF2_mC216_9_2a_26a_4a_16a_2a_4a:B-C-F-H-I-N
46,ABIDAS,CC(=C)C1CCC2=CC(=O)C(O)C2C1,"(19, 1)",A6B8C_oP120_19_12a_16a_2a:C-H-O,A6B8C_oP120_19_12a_16a_2a:C-H-O
47,ABIDAU,F[B-]1(F)N2C(=CC=C2c2[n+]1ccc1ccccc21)Br.F[B-]1(F)N2C(=CC=C2c2[n+]1ccc1ccccc21)Br,"(2, 1)",ABC13D2E8F2_aP108_2_2i_2i_26i_4i_16i_4i:B-Br-C-F-H-N,ABC13D2E8F2_aP108_2_2i_2i_26i_4i_16i_4i:B-Br-C-F-H-N
48,ABIDEW,Cc1ccc(cc1)S(=O)(=O)N1CC2(C)CC2(C)C=C1,"(169, 1)",A15B19CD2E_hP228_169_15a_19a_a_2a_a:C-H-N-O-S,A15B19CD2E_hP228_169_15a_19a_a_2a_a:C-H-N-O-S
49,ABIDIA,Brc1ccc2NC3C(CCC3C(c3ccccc3)c2c1)C(CN(=O)=O)c1ccccc1.Brc1ccc2NC3C(CCC3C(c3ccccc3)c2c1)C(CN(=O)=O)c1ccccc1.ClC(Cl)Cl.ClC(Cl)Cl,"(1, 1)",AB27C3D26E2F2_aP122_1_2a_54a_6a_52a_4a_4a:Br-C-Cl-H-N-O,AB27C3D26E2F2_aP122_1_2a_54a_6a_52a_4a_4a:Br-C-Cl-H-N-O
50,ABIDUM,COC(=O)C1=C(C(=O)OC)C2=CC3c4ccccc4C2([Se]1)c1ccccc31,"(14, 1)",A22B16C4D_mP172_14_22e_16e_4e_e:C-H-O-Se,A22B16C4D_mP172_14_22e_16e_4e_e:C-H-O-Se
51,ABIFAU,COC(=O)C1=C(C(=O)OC)C2=CC3c4ccccc4C2(S1)c1ccccc31,"(14, 1)",A22B16C4D_mP172_14_22e_16e_4e_e:C-H-O-S,A22B16C4D_mP172_14_22e_16e_4e_e:C-H-O-S
52,ABIFIC,CO.CC1OC(OC(=N)C(Cl)(Cl)Cl)C(OC(C)=O)C(OC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2NC(C)=O)C1OC(=O)c1cccc(OC(C)=O)c1,"(19, 1)",A34B3C43D2E18_oP400_19_34a_3a_43a_2a_18a:C-Cl-H-N-O,A34B3C43D2E18_oP400_19_34a_3a_43a_2a_18a:C-Cl-H-N-O
53,ABIFID,CCOC(=O)CCN1C(=O)CC1(C)CN1C(=O)c2ccccc2C1=O.CCOC(=O)CCN1C(=O)CC1(C)CN1C(=O)c2ccccc2C1=O,"(14, 1)",A18B20C2D5_mP360_14_36e_40e_4e_10e:C-H-N-O,A18B20C2D5_mP360_14_36e_40e_4e_10e:C-H-N-O
54,ABIFUP,CC(=O)C1CCC2C3CC=C4CC(F)CCC4(C)C3CCC12C.CC(=O)C1CCC2C3CC=C4CC(F)CCC4(C)C3CCC12C,"(4, 1)",A21BC31D_mP216_4_42a_2a_62a_2a:C-F-H-O,A21BC31D_mP216_4_42a_2a_62a_2a:C-F-H-O
55,ABIGAV,CSC1=C(C(c2ccc(F)cc2)C2=C(CCCC2=O)S1)C(=O)c1ccccc1,"(2, 1)",A23BC19D2E2_aP94_2_23i_i_19i_2i_2i:C-F-H-O-S,A23BC19D2E2_aP94_2_23i_i_19i_2i_2i:C-F-H-O-S
56,ABIGAW,CC12CCC(F)CC1CCC1C2CCC2(C)C1CCC2=O,"(4, 1)",A19BC29D_mP100_4_19a_a_29a_a:C-F-H-O,A19BC29D_mP100_4_19a_a_29a_a:C-F-H-O
57,ABIGEA,CC1CC(F)C2=C(SC=C2)S1(=O)=O.CC1CC(F)C2=C(SC=C2)S1(=O)=O,"(19, 1)",A8BC9D2E2_oP176_19_16a_2a_18a_4a_4a:C-F-H-O-S,A8BC9D2E2_oP176_19_16a_2a_18a_4a_4a:C-F-H-O-S
58,ABIGIB,CCOC(C)=O.Nc1ncc(cn1)c1c2ccccc2cc2ccccc12,"(15, 1)",A22B21C3D2_mC384_15_22f_21f_3f_2f:C-H-N-O,A22B21C3D2_mC384_15_22f_21f_3f_2f:C-H-N-O
59,ABIGOK,CC(C)(C)C(=O)N1CCCC1C(=O)Nc1ccc(O)c(c1)c1cc(NC(=O)C2CCCN2C(=O)C(C)(C)C)ccc1O,"(152, 1)",A16B21C2D3_hP252_152_16c_21c_2c_3c:C-H-N-O,A16B21C2D3_hP252_152_16c_21c_2c_3c:C-H-N-O
60,ABIGUN,COc1c2Cc3cc(cc4Cc5cc(cc6Cc7cc(cc(Cc1cc(c2)C(C)(C)C)c7O[Si](C)(Oc34)Oc56)C(C)(C)C)C(C)(C)C)C(C)(C)C.Cc1ccccc1,"(2, 1)",A53B66C4D_aP248_2_53i_66i_4i_i:C-H-O-Si,A53B66C4D_aP248_2_53i_66i_4i_i:C-H-O-Si
61,ABIGUQ,COC(=O)C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)=CC.COC(=O)C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)=CC.COC(=O)C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)=CC.COC(=O)C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)=CC,"(33, 1)",A12B11C3D7_oP528_33_48a_44a_12a_28a:C-H-N-O,A12B11C3D7_oP528_33_48a_44a_12a_28a:C-H-N-O
62,ABIHAX,CC(C)C=C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)N(C)C,"(2, 1)",A15B18C4D6_aP86_2_15i_18i_4i_6i:C-H-N-O,A15B18C4D6_aP86_2_15i_18i_4i_6i:C-H-N-O
63,ABIHEB,CC1(O)CC23CC4OC(C)(C2CC1C=C3)C1C(O)C(O)C(C)(C)C41O.O,"(4, 1)",A10B16C3_mP116_4_20a_32a_6a:C-H-O,A10B16C3_mP116_4_20a_32a_6a:C-H-O
64,ABIHIC,C[Si]12Oc3c4Cc5cccc(Cc6cccc(Cc7cccc(Cc3ccc4)c7O1)c6O2)c5O,"(2, 1)",A29B24C4D_aP116_2_29i_24i_4i_i:C-H-O-Si,A29B24C4D_aP116_2_29i_24i_4i_i:C-H-O-Si
65,ABIHOI,COc1c2Cc3cccc4Cc5cccc6Cc7cccc(Cc1ccc2)c7O[Si](C)(Oc34)Oc56,"(15, 1)",A30B26C4D_mC488_15_30f_26f_4f_f:C-H-O-Si,A30B26C4D_mC488_15_30f_26f_4f_f:C-H-O-Si
66,ABIHOL,COc1cc(C=O)c(c(OC)c1O)C(F)(F)F.COc1cc(C=O)c(c(OC)c1O)C(F)(F)F,"(4, 1)",A10B3C9D4_mP104_4_20a_6a_18a_8a:C-F-H-O,A10B3C9D4_mP104_4_20a_6a_18a_8a:C-F-H-O
67,ABIHOM,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1.CO.Oc1cc(O)cc(c1)C(=O)[O-].O,"(14, 1)",A29B35C7D8E_mP320_14_29e_35e_7e_8e_e:C-H-N-O-S,A29B35C7D8E_mP320_14_29e_35e_7e_8e_e:C-H-N-O-S
68,ABIHUR,COc1cc(C(C)=O)c(cc1O)C(F)(F)F.COc1cc(C(C)=O)c(cc1O)C(F)(F)F,"(61, 1)",A10B3C9D3_oP400_61_20c_6c_18c_6c:C-F-H-O,A10B3C9D3_oP400_61_20c_6c_18c_6c:C-F-H-O
69,ABIJAA,COC(=O)C=CCC1N(C=Nc2cc(ccc12)c1ccc(F)cc1)C(=O)OCC(Cl)(Cl)Cl,"(4, 1)",A22B3CD18E2F4_mP100_4_22a_3a_a_18a_2a_4a:C-Cl-F-H-N-O,A22B3CD18E2F4_mP100_4_22a_3a_a_18a_2a_4a:C-Cl-F-H-N-O
70,ABIJAZ,CCOC(=O)c1cc(OC)c(O)c(OC)c1C(F)(F)F.CCOC(=O)c1cc(OC)c(O)c(OC)c1C(F)(F)F,"(2, 1)",A12B3C13D5_aP132_2_24i_6i_26i_10i:C-F-H-O,A12B3C13D5_aP132_2_24i_6i_26i_10i:C-F-H-O
71,ABIJEC,CC12CCC3C(CCc4cc(OCC5=CN(Cc6ccc(CN7C=C(COc8ccc9C%10CCC%11(C)C(O)CCC%11C%10CCc9c8)N=N7)cc6)N=N5)ccc34)C1CCC2O.ClC(Cl)Cl.ClC(Cl)Cl.ClC(Cl)Cl.ClC(Cl)Cl,"(1, 1)",A27B6C32D3E2_aP140_1_54a_12a_64a_6a_4a:C-Cl-H-N-O,A27B6C32D3E2_aP140_1_54a_12a_64a_6a_4a:C-Cl-H-N-O
72,ABIJED,CC1(C)C2CC=C(C(=O)[Si](C)(C)C)C2(C#N)C(=O)c2ccccc12,"(146, 1)",A20B23CD2E_hR423_146_20b_23b_b_2b_b:C-H-N-O-Si,A20B23CD2E_hR141_146_20b_23b_b_2b_b:C-H-N-O-Si
73,ABIJIH,CC1(C)CCC(=O)C2(C#N)C1CC=C2C(=O)[Si](C)(C)C.CC1(C)CCC(=O)C2(C#N)C1CC=C2C(=O)[Si](C)(C)C,"(2, 1)",A16B23CD2E_aP172_2_32i_46i_2i_4i_2i:C-H-N-O-Si,A16B23CD2E_aP172_2_32i_46i_2i_4i_2i:C-H-N-O-Si
74,ABIJOK,COC(=O)C1=NN2C=C1C1(CCCCC1)O[Si](C(C)C)(C(C)C)N1C=C(C(=N1)C(=O)OC)C1(CCCCC1)O[Si]2(C(C)C)C(C)C.COC(=O)C1=NN2C=C1C1(CCCCC1)O[Si](C(C)C)(C(C)C)N1C=C(C(=N1)C(=O)OC)C1(CCCCC1)O[Si]2(C(C)C)C(C)C,"(2, 1)",A17B28C2D3E_aP204_2_34i_56i_4i_6i_2i:C-H-N-O-Si,A17B28C2D3E_aP204_2_34i_56i_4i_6i_2i:C-H-N-O-Si
75,ABIJON,CC[Si](CC)(CC)C(=O)C1=CCC2CCCC(=O)C12C#N,"(14, 1)",A17B25CD2E_mP184_14_17e_25e_e_2e_e:C-H-N-O-Si,A17B25CD2E_mP184_14_17e_25e_e_2e_e:C-H-N-O-Si
76,ABIJOO,CC1(C)OC2CC(=O)OC2C(O1)C(O)C(O)c1ccccc1,"(4, 1)",A8B10C3_mP84_4_16a_20a_6a:C-H-O,A8B10C3_mP84_4_16a_20a_6a:C-H-O
77,ABIJUQ,COC(=O)C1=NN2C(=C1CO[Si](C(C)C)(C(C)C)N1N=C(C(=O)OC)C(=C1C)CO[Si](C(C)C)(C(C)C)N1N=C(C(=O)OC)C(=C1C)CO[Si](C(C)C)(C(C)C)N1N=C(C(=O)OC)C(=C1C)CO[Si]2(C(C)C)C(C)C)C,"(2, 1)",A13B22C2D3E_aP164_2_26i_44i_4i_6i_2i:C-H-N-O-Si,A13B22C2D3E_aP164_2_26i_44i_4i_6i_2i:C-H-N-O-Si
78,ABIJUT,COC(=O)c1ccc(cc1)C(=O)C1=CCCC1(C#N)C(=O)C1CCCCC1,"(14, 1)",A22B23CD4_mP200_14_22e_23e_e_4e:C-H-N-O,A22B23CD4_mP200_14_22e_23e_e_4e:C-H-N-O
79,ABIJUU,ClCCl.CC1(C)OC2CC(=O)OC2C(O1)C(O)C(O)c1ccccc1,"(20, 1)",A33B2C42D12_oC356_20_a16c_c_21c_6c:C-Cl-H-O,A33B2C42D12_oC356_20_b16c_c_21c_6c:C-Cl-H-O
80,ABIKAA,CC(C)(C)[Si](C)(C)C(=O)C1=CCC2CCCC(=O)C12C#N,"(9, 1)",A17B25CD2E_mC184_9_17a_25a_a_2a_a:C-H-N-O-Si,A17B25CD2E_mC184_9_17a_25a_a_2a_a:C-H-N-O-Si
81,ABIKAB,CC1(C)OC2CC(=O)OC2C(O1)C1CO1,"(19, 1)",A10B14C5_oP116_19_10a_14a_5a:C-H-O,A10B14C5_oP116_19_10a_14a_5a:C-H-O
82,ABIKEB,COC(=O)C1=NN2C=C1C(C)(C)O[Si](C(C)C)(C(C)C)N1C=C(C(=N1)C(=O)OC)C(C)(C)O[Si]2(C(C)C)C(C)C,"(61, 1)",A14B24C2D3E_oP704_61_28c_48c_4c_6c_2c:C-H-N-O-Si,A14B24C2D3E_oP704_61_28c_48c_4c_6c_2c:C-H-N-O-Si
83,ABIKEF,CC1(C)OC2CC(=O)OC2C(O1)C1CO1,"(19, 1)",A10B14C5_oP116_19_10a_14a_5a:C-H-O,A10B14C5_oP116_19_10a_14a_5a:C-H-O
84,ABIKII,O=C1CCCC2CC=C(C(=O)c3ccc(cc3)C#N)C12C#N,"(2, 1)",A9B7CD_aP72_2_18i_14i_2i_2i:C-H-N-O,A9B7CD_aP72_2_18i_14i_2i_2i:C-H-N-O
85,ABILAC10,COC1CCC2(C)C3CCC4(C)C(CCC4(C)C3=CCC2C1(C)C)C(C)CC1OC(=O)C(=C1)C,"(19, 1)",A31B3_oP136_19_31a_3a:C-O,A31B3_oP136_19_31a_3a:C-H-O
86,ABILAC11,COC1CCC2(C)C3CCC4(C)C(CCC4(C)C3=CCC2C1(C)C)C(C)CC1OC(=O)C(=C1)C,"(19, 1)",A31B48C3_oP328_19_31a_48a_3a:C-H-O,A31B48C3_oP328_19_31a_48a_3a:C-H-O
87,ABILAY,C[Si](C)(C)C1(Cl)C2CCC(C2)C1[N+]([O-])=[N+]([O-])C1C2CCC(C2)C1(Cl)[Si](C)(C)C,"(14, 1)",A10BC18DEF_mP128_14_10e_e_18e_e_e_e:C-Cl-H-N-O-Si,A10BC18DEF_mP128_14_10e_e_18e_e_e_e:C-Cl-H-N-O-Si
88,ABILEC,[I-].C[n+]1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,"(61, 1)",A26B23CD2_oP416_61_26c_23c_c_2c:C-H-I-N,A26B23CD2_oP416_61_26c_23c_c_2c:C-H-I-N
89,ABILOO,Cc1ccc(cc1)C#CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,"(2, 1)",A27B29C_aP114_2_27i_29i_i:C-H-P,A27B29C_aP114_2_27i_29i_i:C-H-P
90,ABILPU10,CCC1=C(C)C(=O)NC1=CC1=NC(=CC2=C(CC)C(=C(N2)C(OC)C2(NC(=O)C(=C2CC)C)OC)C)C(=C1C)CC.CCCCCC,"(2, 1)",A9B11CD_aP176_2_36i_44i_4i_4i:C-H-N-O,A9B11CD_aP176_2_36i_44i_4i_4i:C-H-N-O
91,ABILUU,Cc1ccc(cc1)C(P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,"(2, 1)",AB45C15D29E_aP182_2_i_45i_15i_29i_i:B-C-F-H-P,AB45C15D29E_aP182_2_i_45i_15i_29i_i:B-C-F-H-P
92,ABIMAB,Cc1ccc(cc1)C1=C([P+]1(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F.Cc1ccc(cc1)C1=C([P+]1(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F.CCCCC.ClCCl,"(29, 1)",AB48CD15E36F_oP816_29_2a_96a_2a_30a_72a_2a:B-C-Cl-F-H-P,AB48CD15E36F_oP816_29_2a_96a_2a_30a_72a_2a:B-C-Cl-F-H-P
93,ABIMAZ,CC(C)C1=C(NC(C)=O)N=C(Br)N1C,"(19, 1)",AB9C3D_oP56_19_a_9a_3a_a:Br-C-N-O,AB9C3D_oP56_19_a_9a_3a_a:Br-C-H-N-O
94,ABIMIH,CN1C2=NC(=O)NC(=O)C2=Nc2ccc(C)c(C)c12.O,"(15, 1)",A13B14C4D3_mC272_15_13f_14f_4f_3f:C-H-N-O,A13B14C4D3_mC272_15_13f_14f_4f_3f:C-H-N-O
95,ABIMIL,CC(C)(C)OC(=O)N1CC(O)CC1C(=O)NC1CCCCC1,"(19, 1)",A8B14CD2_oP200_19_16a_28a_2a_4a:C-H-N-O,A8B14CD2_oP200_19_16a_28a_2a_4a:C-H-N-O
96,ABIMON,OC=O.O=C1NC(=O)C2=Nc3cccc4CCCN(C2=N1)c34,"(2, 1)",A7B6C2D2_aP68_2_14i_12i_4i_4i:C-H-N-O,A7B6C2D2_aP68_2_14i_12i_4i_4i:C-H-N-O
97,ABIMOR,O=C(NC1CCCCC1)C1C2CCCCC2C(=O)N1Cc1ccccc1,"(2, 1)",A11B15CD_aP112_2_22i_30i_2i_2i:C-H-N-O,A11B15CD_aP112_2_22i_30i_2i_2i:C-H-N-O
98,ABIMUT,COP(=O)(OC)C1CCC(=O)N1C(CO)c1ccccc1,"(4, 1)",A14B20CD5E_mP82_4_14a_20a_a_5a_a:C-H-N-O-P,A14B20CD5E_mP82_4_14a_20a_a_5a_a:C-H-N-O-P
99,ABIMUW,C1CCC2N=Cc3cc4C=NC5CCCCC5N=Cc5cc6C=NC7CCCCC7N=Cc7cc(C=NC2C1)cc(c7)c1ccc(cc1)c1cc2C=NC7CCCCC7N=Cc7cc(C=NC8CCCCC8N=Cc8cc(C=NC9CCCCC9N=Cc(c2)c1)cc(c8)c1ccc(cc1)c(c6)c5)cc(c7)c1ccc(cc1)c(c3)c4.O.O,"(148, 1)",A102B102C12D_hR1302_148_34f_34f_4f_ab:C-H-N-O,A102B102C12D_aP434_2_102i_102i_12i_be:C-H-N-O.
100,ABIMUX,CC(C)(C)NC(=O)C1CC(O)C(N1C(=O)OC(C)(C)C)c1ccccc1,"(14, 1)",A10B15CD2_mP224_14_20e_30e_2e_4e:C-H-N-O,A10B15CD2_mP224_14_20e_30e_2e_4e:C-H-N-O
101,ABINAD,C1CCC2N=Cc3cc4C=NC5CCCCC5N=Cc5cc6C=NC7CCCCC7N=Cc7cc(C=NC2C1)cc(c7)c1ccc(cc1)c1cc2C=NC7CCCCC7N=Cc7cc(C=NC8CCCCC8N=Cc8cc(C=NC9CCCCC9N=Cc(c2)c1)cc(c8)c1ccc(cc1)c(c6)c5)cc(c7)c1ccc(cc1)c(c3)c4,"(148, 1)",A17B17C2_hR1296_148_34f_34f_4f:C-H-N,A17B17C2_hR432_148_34f_34f_4f:C-H-N
0,ABINAE,O=C1CCC(N1Cc1ccccc1)C(=O)Nc1ccccc1c1ccccc1,"(33, 1)",A12B11CD_oP200_33_24a_22a_2a_2a:C-H-N-O,A12B11CD_oP200_33_24a_22a_2a_2a:C-H-N-O
1,ABINEI,Oc1ccc2cccnc2c1C=Nc1c(F)c(F)c(F)c(F)c1F.Oc1ccc2cccnc2c1C=Nc1c(F)c(F)c(F)c(F)c1F,"(1, 1)",A16B5C7D2E_aP62_1_32a_10a_14a_4a_2a:C-F-H-N-O,A16B5C7D2E_aP62_1_32a_10a_14a_4a_2a:C-F-H-N-O
2,ABINII,CC1C(CCC2C1(C)CCC1C2(C)CCC23C4CC(C)(C)CCC4(C)C(CC12C)OC3=O)OC(=O)c1ccccc1.CC1C(CCC2C1(C)CCC1C2(C)CCC23C4CC(C)(C)CCC4(C)C(CC12C)OC3=O)OC(=O)c1ccccc1,"(4, 1)",A37B52C4_mP372_4_74a_104a_8a:C-H-O,A37B52C4_mP372_4_74a_104a_8a:C-H-O
3,ABINIJ,CC(C)(C)P(P(C(C)(C)C)C(C)(C)C)C(C)(C)C,"(19, 1)",A8B18C_oP216_19_16a_36a_2a:C-H-P,A8B18C_oP216_19_16a_36a_2a:C-H-P
